id,keywords
17,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 439, ""name"": ""paradise""}, {""id"": 516, ""name"": ""child abuse""}, {""id"": 658, ""name"": ""sea""}, {""id"": 704, ""name"": ""adolescence""}, {""id"": 1209, ""name"": ""wales""}, {""id"": 1328, ""name"": ""secret""}, {""id"": 1449, ""name"": ""underworld""}, {""id"": 1450, ""name"": ""shepherd""}, {""id"": 1452, ""name"": ""loss of child""}, {""id"": 3020, ""name"": ""sheep""}, {""id"": 9457, ""name"": ""single""}, {""id"": 10707, ""name"": ""mother daughter relationship""}, {""id"": 173162, ""name"": ""sect""}]"
18,"[{""id"": 402, ""name"": ""clone""}, {""id"": 444, ""name"": ""taxi""}, {""id"": 679, ""name"": ""cyborg""}, {""id"": 1160, ""name"": ""egypt""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3622, ""name"": ""stowaway""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4776, ""name"": ""race against time""}, {""id"": 6163, ""name"": ""arms dealer""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 10150, ""name"": ""end of the world""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 11148, ""name"": ""police chase""}, {""id"": 11290, ""name"": ""cab driver""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 162365, ""name"": ""military""}, {""id"": 164920, ""name"": ""opera singer""}, {""id"": 169593, ""name"": ""resort hotel""}, {""id"": 172718, ""name"": ""ancient astronaut""}, {""id"": 223344, ""name"": ""archeologist""}, {""id"": 229863, ""name"": ""ancient evil""}, {""id"": 234630, ""name"": ""cruise liner""}]"
19,"[{""id"": 312, ""name"": ""man vs machine""}, {""id"": 1001, ""name"": ""underground world""}, {""id"": 1436, ""name"": ""inventor""}, {""id"": 1761, ""name"": ""metropolis""}, {""id"": 2346, ""name"": ""worker""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3223, ""name"": ""machine town""}, {""id"": 3640, ""name"": ""work""}, {""id"": 4034, ""name"": ""class society""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5966, ""name"": ""tower of babel""}, {""id"": 6662, ""name"": ""delirium""}, {""id"": 10012, ""name"": ""chase scene""}, {""id"": 10125, ""name"": ""mad scientist""}, {""id"": 11222, ""name"": ""prophet""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 14796, ""name"": ""destruction""}, {""id"": 154802, ""name"": ""silent film""}, {""id"": 201028, ""name"": ""depravity""}, {""id"": 206472, ""name"": ""masterpiece""}, {""id"": 234109, ""name"": ""downtrodden""}, {""id"": 234110, ""name"": ""saviour""}]"
20,"[{""id"": 455, ""name"": ""farewell""}, {""id"": 457, ""name"": ""responsability""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 4225, ""name"": ""night shift""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 7879, ""name"": ""secret love""}, {""id"": 10707, ""name"": ""mother daughter relationship""}, {""id"": 187056, ""name"": ""woman director""}]"
21,"[{""id"": 1524, ""name"": ""surfer""}, {""id"": 1671, ""name"": ""surfboard""}, {""id"": 5349, ""name"": ""surfing""}]"
22,"[{""id"": 911, ""name"": ""exotic island""}, {""id"": 1318, ""name"": ""blacksmith""}, {""id"": 1319, ""name"": ""east india trading company""}, {""id"": 1321, ""name"": ""gold""}, {""id"": 1459, ""name"": ""marriage proposal""}, {""id"": 1860, ""name"": ""mutiny""}, {""id"": 3266, ""name"": ""jamaica""}, {""id"": 4062, ""name"": ""skeleton""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 5744, ""name"": ""governor""}, {""id"": 11086, ""name"": ""wooden eye""}, {""id"": 11087, ""name"": ""gold coin""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 33457, ""name"": ""alcoholic""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 167861, ""name"": ""caribbean""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 185200, ""name"": ""pirate ship""}, {""id"": 235625, ""name"": ""capuchin monkey""}, {""id"": 235626, ""name"": ""tortuga""}]"
24,"[{""id"": 233, ""name"": ""japan""}, {""id"": 732, ""name"": ""coma""}, {""id"": 779, ""name"": ""martial arts""}, {""id"": 780, ""name"": ""kung fu""}, {""id"": 1449, ""name"": ""underworld""}, {""id"": 1794, ""name"": ""yakuza""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 3582, ""name"": ""bride""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10704, ""name"": ""female yakuza""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 18098, ""name"": ""samurai sword""}, {""id"": 193521, ""name"": ""part animation""}]"
25,"[{""id"": 1589, ""name"": ""sniper""}, {""id"": 4405, ""name"": ""marine corps""}, {""id"": 5174, ""name"": ""saudi arabia""}, {""id"": 5175, ""name"": ""petrol""}, {""id"": 161236, ""name"": ""golf war""}, {""id"": 188114, ""name"": ""u.s. marine""}]"
26,"[{""id"": 220, ""name"": ""berlin""}, {""id"": 376, ""name"": ""neo-nazi""}, {""id"": 536, ""name"": ""israel""}, {""id"": 1933, ""name"": ""nazi background""}, {""id"": 2072, ""name"": ""chauffeur""}, {""id"": 3037, ""name"": ""mossad""}, {""id"": 5907, ""name"": ""middle east conflict""}, {""id"": 6441, ""name"": ""dead sea""}, {""id"": 10144, ""name"": ""anti semitism""}, {""id"": 10293, ""name"": ""kibbutz""}, {""id"": 11064, ""name"": ""nazi germany""}, {""id"": 12993, ""name"": ""suicide mission""}]"
27,"[{""id"": 212, ""name"": ""london england""}, {""id"": 293, ""name"": ""female nudity""}, {""id"": 572, ""name"": ""sex""}, {""id"": 578, ""name"": ""rock and roll""}, {""id"": 3405, ""name"": ""blow job""}, {""id"": 4313, ""name"": ""condom""}, {""id"": 4316, ""name"": ""safe sex""}, {""id"": 6029, ""name"": ""concert""}, {""id"": 6935, ""name"": ""erection""}, {""id"": 7410, ""name"": ""fellatio""}, {""id"": 9772, ""name"": ""pubic hair""}, {""id"": 9835, ""name"": ""sexual fantasy""}, {""id"": 10762, ""name"": ""penetration""}, {""id"": 11474, ""name"": ""sexual intercourse""}, {""id"": 11868, ""name"": ""ejaculation""}, {""id"": 12420, ""name"": ""unsimulated sex""}, {""id"": 33494, ""name"": ""couple""}, {""id"": 33513, ""name"": ""desire""}, {""id"": 155606, ""name"": ""semen""}, {""id"": 155662, ""name"": ""vulva""}, {""id"": 155671, ""name"": ""male orgasm""}, {""id"": 155678, ""name"": ""penis""}, {""id"": 156433, ""name"": ""explicit sex""}]"
28,"[{""id"": 1008, ""name"": ""guerrilla""}, {""id"": 1261, ""name"": ""river""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2959, ""name"": ""vietcong""}, {""id"": 2960, ""name"": ""cambodia""}, {""id"": 6092, ""name"": ""army""}, {""id"": 6255, ""name"": ""insanity""}, {""id"": 10148, ""name"": ""tribe""}, {""id"": 10403, ""name"": ""green beret""}, {""id"": 10787, ""name"": ""jungle""}, {""id"": 12332, ""name"": ""apocalypse""}, {""id"": 34079, ""name"": ""death""}, {""id"": 177275, ""name"": ""napalm""}]"
30,"[{""id"": 1826, ""name"": ""space marine""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3026, ""name"": ""reality""}, {""id"": 5178, ""name"": ""magnetic field""}, {""id"": 5179, ""name"": ""garbageman ""}, {""id"": 163132, ""name"": ""photographic memory""}, {""id"": 164920, ""name"": ""opera singer""}, {""id"": 211269, ""name"": ""emotions""}, {""id"": 211487, ""name"": ""space centre""}]"
33,"[{""id"": 549, ""name"": ""prostitute""}, {""id"": 798, ""name"": ""sheriff""}, {""id"": 800, ""name"": ""bounty""}, {""id"": 802, ""name"": ""regret""}, {""id"": 6145, ""name"": ""right and justice""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 157512, ""name"": ""mutilation""}, {""id"": 159434, ""name"": ""one last job""}, {""id"": 160410, ""name"": ""reputation""}, {""id"": 209631, ""name"": ""englishman""}]"
35,"[{""id"": 494, ""name"": ""father son relationship""}, {""id"": 1889, ""name"": ""lake""}, {""id"": 2181, ""name"": ""springfield""}, {""id"": 2184, ""name"": ""the simpsons""}, {""id"": 2205, ""name"": ""duff beer""}, {""id"": 3700, ""name"": ""garbage""}, {""id"": 4931, ""name"": ""pig""}, {""id"": 6305, ""name"": ""pollution""}, {""id"": 6832, ""name"": ""environmental protection agency""}, {""id"": 6898, ""name"": ""quarantine""}, {""id"": 7464, ""name"": ""alcoholism""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9880, ""name"": ""alaska""}, {""id"": 10041, ""name"": ""dysfunctional family""}, {""id"": 10061, ""name"": ""dysfunctional marriage""}, {""id"": 15174, ""name"": ""ecology""}, {""id"": 40922, ""name"": ""saving lives""}, {""id"": 157303, ""name"": ""first love""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 192544, ""name"": ""donuts""}]"
38,"[{""id"": 563, ""name"": ""deja vu""}, {""id"": 802, ""name"": ""regret""}, {""id"": 931, ""name"": ""jealousy""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 1604, ""name"": ""operation""}, {""id"": 5625, ""name"": ""relationship problems""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10937, ""name"": ""memory""}, {""id"": 12400, ""name"": ""brainwashing""}, {""id"": 14534, ""name"": ""relationship""}, {""id"": 34265, ""name"": ""heartbreak""}, {""id"": 157171, ""name"": ""nonlinear timeline""}, {""id"": 204374, ""name"": ""love story""}, {""id"": 224279, ""name"": ""bittersweet""}]"
55,"[{""id"": 960, ""name"": ""homeless person""}, {""id"": 1547, ""name"": ""mexico city""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 7879, ""name"": ""secret love""}, {""id"": 10399, ""name"": ""dogfight""}, {""id"": 10594, ""name"": ""money""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 157171, ""name"": ""nonlinear timeline""}, {""id"": 171366, ""name"": ""multiple storylines""}, {""id"": 209987, ""name"": ""new mexican cinema""}]"
58,"[{""id"": 616, ""name"": ""witch""}, {""id"": 663, ""name"": ""fortune teller""}, {""id"": 910, ""name"": ""bondage""}, {""id"": 911, ""name"": ""exotic island""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 1317, ""name"": ""card game""}, {""id"": 1319, ""name"": ""east india trading company""}, {""id"": 1461, ""name"": ""compass""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]"
59,"[{""id"": 642, ""name"": ""robbery""}, {""id"": 848, ""name"": ""double life""}, {""id"": 851, ""name"": ""dual identity""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 1447, ""name"": ""indiana""}, {""id"": 1448, ""name"": ""distrust""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 2801, ""name"": ""self-defense""}, {""id"": 6038, ""name"": ""marriage""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10325, ""name"": ""mistaken identity""}, {""id"": 10738, ""name"": ""diner""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 18083, ""name"": ""attempted robbery""}]"
62,"[{""id"": 305, ""name"": ""moon""}, {""id"": 306, ""name"": ""jupiter""}, {""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 312, ""name"": ""man vs machine""}, {""id"": 1576, ""name"": ""technology""}, {""id"": 3222, ""name"": ""super computer""}, {""id"": 3714, ""name"": ""human being""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4040, ""name"": ""space mission""}, {""id"": 12185, ""name"": ""moon base""}, {""id"": 14626, ""name"": ""astronaut""}, {""id"": 34152, ""name"": ""evolution""}, {""id"": 155689, ""name"": ""monolith""}, {""id"": 156039, ""name"": ""space station""}]"
63,"[{""id"": 222, ""name"": ""schizophrenia""}, {""id"": 276, ""name"": ""philadelphia""}, {""id"": 277, ""name"": ""cassandra syndrom""}, {""id"": 278, ""name"": ""stockholm syndrome""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 14675, ""name"": ""lethal virus""}, {""id"": 15149, ""name"": ""monkey""}, {""id"": 162801, ""name"": ""subterranean""}]"
64,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 514, ""name"": ""spain""}, {""id"": 570, ""name"": ""rape""}, {""id"": 732, ""name"": ""coma""}, {""id"": 734, ""name"": ""bullfight""}, {""id"": 735, ""name"": ""torera""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 739, ""name"": ""sexual abuse""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 6034, ""name"": ""theatre milieu""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9844, ""name"": ""car crash""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 13149, ""name"": ""pregnancy""}]"
65,"[{""id"": 30, ""name"": ""individual""}, {""id"": 542, ""name"": ""street gang""}, {""id"": 704, ""name"": ""adolescence""}, {""id"": 897, ""name"": ""rap music""}, {""id"": 898, ""name"": ""hip-hop""}, {""id"": 899, ""name"": ""rhyme battle""}, {""id"": 900, ""name"": ""trailer park""}, {""id"": 6325, ""name"": ""ethnic stereotype""}, {""id"": 9457, ""name"": ""single""}, {""id"": 18021, ""name"": ""detroit""}, {""id"": 190187, ""name"": ""eminem""}]"
66,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 441, ""name"": ""assassination""}, {""id"": 521, ""name"": ""washington d.c.""}, {""id"": 570, ""name"": ""rape""}, {""id"": 833, ""name"": ""white house""}, {""id"": 840, ""name"": ""usa president""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 6086, ""name"": ""government""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 41249, ""name"": ""secret service""}, {""id"": 208633, ""name"": ""secret service agent""}]"
67,"[{""id"": 30, ""name"": ""individual""}, {""id"": 321, ""name"": ""terror""}, {""id"": 393, ""name"": ""civil war""}, {""id"": 536, ""name"": ""israel""}, {""id"": 537, ""name"": ""palestine""}, {""id"": 539, ""name"": ""middle east""}, {""id"": 789, ""name"": ""muslim""}, {""id"": 5907, ""name"": ""middle east conflict""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 12993, ""name"": ""suicide mission""}, {""id"": 156052, ""name"": ""unemployment""}]"
68,"[{""id"": 211, ""name"": ""bureaucracy""}, {""id"": 318, ""name"": ""police state""}, {""id"": 321, ""name"": ""terror""}, {""id"": 1025, ""name"": ""great britain""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6086, ""name"": ""government""}, {""id"": 236316, ""name"": ""anarchic comedy""}]"
69,"[{""id"": 74, ""name"": ""germany""}, {""id"": 378, ""name"": ""prison""}, {""id"": 532, ""name"": ""music record""}, {""id"": 596, ""name"": ""adultery""}, {""id"": 727, ""name"": ""country music""}, {""id"": 953, ""name"": ""guitar""}, {""id"": 963, ""name"": ""loss of brother""}, {""id"": 6029, ""name"": ""concert""}, {""id"": 6038, ""name"": ""marriage""}, {""id"": 9457, ""name"": ""single""}, {""id"": 207819, ""name"": ""accident""}, {""id"": 208992, ""name"": ""1960s""}]"
70,"[{""id"": 396, ""name"": ""transporter""}, {""id"": 1252, ""name"": ""suicide attempt""}, {""id"": 2660, ""name"": ""strong woman""}, {""id"": 2792, ""name"": ""boxer""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 4327, ""name"": ""stroke of fate""}, {""id"": 4613, ""name"": ""training""}, {""id"": 5212, ""name"": ""advancement""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 11322, ""name"": ""female protagonist""}, {""id"": 156330, ""name"": ""boxing trainer""}, {""id"": 207999, ""name"": ""determination""}]"
71,"[{""id"": 1682, ""name"": ""workers quarter""}, {""id"": 2684, ""name"": ""dancing class""}, {""id"": 4112, ""name"": ""strike""}, {""id"": 5215, ""name"": ""northern england""}, {""id"": 6278, ""name"": ""scholarship""}, {""id"": 10551, ""name"": ""ballet""}]"
73,"[{""id"": 279, ""name"": ""usa""}, {""id"": 376, ""name"": ""neo-nazi""}, {""id"": 378, ""name"": ""prison""}, {""id"": 379, ""name"": ""skinhead""}, {""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 570, ""name"": ""rape""}, {""id"": 1755, ""name"": ""fascism""}, {""id"": 5301, ""name"": ""brother""}, {""id"": 6496, ""name"": ""basketball""}, {""id"": 9890, ""name"": ""jail""}, {""id"": 10873, ""name"": ""school""}, {""id"": 11105, ""name"": ""swastika""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 18035, ""name"": ""family""}, {""id"": 41509, ""name"": ""hate""}, {""id"": 159950, ""name"": ""neo nazism""}, {""id"": 160910, ""name"": ""xenophobia""}, {""id"": 165583, ""name"": ""interracial friendship""}, {""id"": 191726, ""name"": ""nazism""}, {""id"": 215876, ""name"": ""prison rape""}]"
74,"[{""id"": 447, ""name"": ""post traumatic stress  disorder""}, {""id"": 586, ""name"": ""new jersey""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 12332, ""name"": ""apocalypse""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 207569, ""name"": ""human subjugation""}]"
75,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 464, ""name"": ""total destruction""}, {""id"": 833, ""name"": ""white house""}, {""id"": 839, ""name"": ""mars""}, {""id"": 840, ""name"": ""usa president""}, {""id"": 843, ""name"": ""cataclysm""}, {""id"": 1280, ""name"": ""lasergun""}, {""id"": 1704, ""name"": ""ambassador""}, {""id"": 1705, ""name"": ""congress""}, {""id"": 2867, ""name"": ""pest""}, {""id"": 3243, ""name"": ""flying saucer""}]"
76,"[{""id"": 811, ""name"": ""dialogue""}, {""id"": 813, ""name"": ""sunrise""}, {""id"": 814, ""name"": ""talking""}, {""id"": 815, ""name"": ""soulmates""}, {""id"": 816, ""name"": ""walking""}, {""id"": 1201, ""name"": ""austria""}, {""id"": 197528, ""name"": ""traveller""}, {""id"": 215205, ""name"": ""danube""}, {""id"": 224279, ""name"": ""bittersweet""}, {""id"": 233027, ""name"": ""romantic""}, {""id"": 233055, ""name"": ""vienna""}]"
77,"[{""id"": 30, ""name"": ""individual""}, {""id"": 328, ""name"": ""insulin""}, {""id"": 331, ""name"": ""tattoo""}, {""id"": 828, ""name"": ""waitress""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 2669, ""name"": ""motel""}, {""id"": 3973, ""name"": ""insurance salesman""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 11469, ""name"": ""memory loss""}, {""id"": 33874, ""name"": ""polaroid""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 207268, ""name"": ""neo-noir""}]"
78,"[{""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 801, ""name"": ""bounty hunter""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6017, ""name"": ""genetics""}, {""id"": 10718, ""name"": ""fugitive""}, {""id"": 12190, ""name"": ""cyberpunk""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 178657, ""name"": ""tech noir""}, {""id"": 207268, ""name"": ""neo-noir""}, {""id"": 238847, ""name"": ""futurista""}, {""id"": 238848, ""name"": ""lluvia""}]"
79,"[{""id"": 548, ""name"": ""countryside""}, {""id"": 1014, ""name"": ""loss of lover""}, {""id"": 6145, ""name"": ""right and justice""}, {""id"": 54324, ""name"": ""patriot""}]"
80,"[{""id"": 90, ""name"": ""paris""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 811, ""name"": ""dialogue""}, {""id"": 814, ""name"": ""talking""}, {""id"": 815, ""name"": ""soulmates""}, {""id"": 816, ""name"": ""walking""}, {""id"": 817, ""name"": ""bookshop""}, {""id"": 2038, ""name"": ""love of ones life""}, {""id"": 10818, ""name"": ""author""}]"
81,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 2763, ""name"": ""human vs nature""}, {""id"": 2765, ""name"": ""fungus spores   ""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9794, ""name"": ""toxic""}, {""id"": 13141, ""name"": ""based on manga""}, {""id"": 15174, ""name"": ""ecology""}, {""id"": 158091, ""name"": ""giant insect""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 210024, ""name"": ""anime""}]"
82,"[{""id"": 10988, ""name"": ""based on tv series""}, {""id"": 168179, ""name"": ""drug deal""}, {""id"": 168186, ""name"": ""havana cuba""}, {""id"": 168192, ""name"": ""speedboat""}]"
83,"[{""id"": 269, ""name"": ""diving""}, {""id"": 843, ""name"": ""cataclysm""}, {""id"": 3030, ""name"": ""nightmare""}, {""id"": 4210, ""name"": ""panic""}, {""id"": 5250, ""name"": ""red sea""}, {""id"": 5251, ""name"": ""primal fear""}, {""id"": 10503, ""name"": ""scuba diving""}, {""id"": 15097, ""name"": ""shark""}, {""id"": 155334, ""name"": ""scuba""}]"
